@id,법령일련번호,현행연혁코드,법령명한글,법령약칭명,법령ID,공포일자,공포번호,제개정구분명,소관부처코드,소관부처명,법령구분명,공동부령정보,시행일자,자법타법여부,법령상세링크
1674,242863,현행,대중문화예술산업발전법 시행규칙,대중문화산업법 시행규칙,012117,20220603,00482,타법개정,1371000,문화체육관광부,문화체육관광부령,,20220603,,/DRF/lawService.do?OC=username001&target=law&MST=242863&type=HTML&mobileYn=&efYd=20220603
1675,258337,현행,대ㆍ중소기업 상생협력 촉진에 관한 법률,상생협력법,010165,20240109,19989,일부개정,1421000,중소벤처기업부,법률,,20240109,,/DRF/lawService.do?OC=username001&target=law&MST=258337&type=HTML&mobileYn=&efYd=20240109
1676,255053,현행,대ㆍ중소기업 상생협력 촉진에 관한 법률 시행령,상생협력법 시행령,010213,20230926,33768,일부개정,1421000,중소벤처기업부,대통령령,,20231004,,/DRF/lawService.do?OC=username001&target=law&MST=255053&type=HTML&mobileYn=&efYd=20231004
1677,255129,현행,대ㆍ중소기업 상생협력 촉진에 관한 법률 시행규칙,상생협력법 시행규칙,010273,20230927,00079,일부개정,1421000,중소벤처기업부,중소벤처기업부령,,20231004,,/DRF/lawService.do?OC=username001&target=law&MST=255129&type=HTML&mobileYn=&efYd=20231004
1678,255771,현행,대체역의 편입 및 복무 등에 관한 법률,대체역법,013642,20231031,19789,일부개정,"1290000,1300000","국방부,병무청",법률,,20240201,,/DRF/lawService.do?OC=username001&target=law&MST=255771&type=HTML&mobileYn=&efYd=20240201
1679,261831,현행,대체역의 편입 및 복무 등에 관한 법률 시행령,대체역법 시행령,013800,20240423,34430,일부개정,"1290000,1300000","국방부,병무청",대통령령,,20240501,,/DRF/lawService.do?OC=username001&target=law&MST=261831&type=HTML&mobileYn=&efYd=20240501
1680,240303,현행,대체역의 편입 및 복무 등에 관한 법률 시행규칙,대체역법 시행규칙,013806,20220209,01080,일부개정,"1290000,1300000","국방부,병무청",국방부령,,20220209,,/DRF/lawService.do?OC=username001&target=law&MST=240303&type=HTML&mobileYn=&efYd=20220209
1681,245117,현행,대통령경호안전대책위원회규정,,003330,20221101,32968,타법개정,1021100,대통령경호처,대통령령,,20221101,,/DRF/lawService.do?OC=username001&target=law&MST=245117&type=HTML&mobileYn=&efYd=20221101
1682,257473,현행,대통령경호처와 그 소속기관 직제,,012918,20231229,34075,일부개정,1741000,행정안전부,대통령령,,20231229,,/DRF/lawService.do?OC=username001&target=law&MST=257473&type=HTML&mobileYn=&efYd=20231229
1683,223449,현행,대통령기록물 관리에 관한 법률,대통령기록물법,010435,20201208,17573,일부개정,1741000,행정안전부,법률,,20210309,,/DRF/lawService.do?OC=username001&target=law&MST=223449&type=HTML&mobileYn=&efYd=20210309
1684,253301,현행,대통령기록물 관리에 관한 법률 시행령,대통령기록물법 시행령,010488,20230808,33662,일부개정,1741000,행정안전부,대통령령,,20230808,,/DRF/lawService.do?OC=username001&target=law&MST=253301&type=HTML&mobileYn=&efYd=20230808
1685,195316,현행,대통령 등의 경호에 관한 법률,대통령경호법,001377,20170726,14839,타법개정,1021100,대통령경호처,법률,,20170726,,/DRF/lawService.do?OC=username001&target=law&MST=195316&type=HTML&mobileYn=&efYd=20170726
1686,249763,현행,대통령 등의 경호에 관한 법률 시행령,대통령경호법 시행령,003329,20230411,33382,타법개정,1021100,대통령경호처,대통령령,,20230605,,/DRF/lawService.do?OC=username001&target=law&MST=249763&type=HTML&mobileYn=&efYd=20230605
1687,249797,현행,대통령비서실 직제,,011784,20230411,33393,타법개정,1741000,행정안전부,대통령령,,20230411,,/DRF/lawService.do?OC=username001&target=law&MST=249797&type=HTML&mobileYn=&efYd=20230411
1688,195072,현행,대통령직 인수에 관한 법률,대통령직인수법,009426,20170726,14839,타법개정,1741000,행정안전부,법률,,20170726,,/DRF/lawService.do?OC=username001&target=law&MST=195072&type=HTML&mobileYn=&efYd=20170726
1689,195595,현행,대통령직인수에관한법률시행령,대통령직인수법 시행령,009495,20170726,28211,타법개정,1741000,행정안전부,대통령령,,20170726,,/DRF/lawService.do?OC=username001&target=law&MST=195595&type=HTML&mobileYn=&efYd=20170726
1690,208425,현행,대학교원 기간임용제 탈락자 구제를 위한 특별법,임용탈락구제법,010007,20190423,16331,타법개정,1342000,교육부,법률,,20190423,,/DRF/lawService.do?OC=username001&target=law&MST=208425&type=HTML&mobileYn=&efYd=20190423
1691,177894,현행,대학교원 기간임용제 탈락자 구제를 위한 특별법 시행령,임용탈락구제법 시행령,010047,20151230,26774,타법개정,1342000,교육부,대통령령,,20151230,,/DRF/lawService.do?OC=username001&target=law&MST=177894&type=HTML&mobileYn=&efYd=20151230
